id_material;descricao;id_pedido;quantidade_pedida
6514;Ventilador tipo coluna/pedestal - bivolt;3600;5
6489;Circulador de ar - 220v;3600;4
6484;Forno de microondas - 220v;3600;1
706;Mesa de escritório - cor argila;3600;4
702;Mesa de apoio - cor argila;3600;4
696;Gaveteiro volante - cor argila;3600;5
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3598;3
1706;Mesa redonda para acomodação de 6 pessoas;3598;1
633;Estante de aço - 8 prateleiras;3597;3
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3595;25
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3595;100
1305;Balcão cor mogno;3595;20
802;Tablado - cor azul;3595;2
691;Armário sem cabideiro - cor mogno;3595;10
485;Bebedouro elétrico tipo pressão, 110Volts;3595;10
690;Armário com cabideiro - cor mogno;3594;10
805;Mesa de centro - cor mogno;3593;11
726;Mesa de reunião - cor mogno;3593;5
706;Mesa de escritório - cor argila;3593;14
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3592;25
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3592;100
1305;Balcão cor mogno;3592;20
802;Tablado - cor azul;3592;2
691;Armário sem cabideiro - cor mogno;3592;10
485;Bebedouro elétrico tipo pressão, 110Volts;3592;10
706;Mesa de escritório - cor argila;3591;20
706;Mesa de escritório - cor argila;3590;20
706;Mesa de escritório - cor argila;3589;20
771;Extintor de incêndio do tipo pó químico de  4 kg;3588;1
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3588;1
1312;Tablado -- cor azul (Complemento);3587;1
485;Bebedouro elétrico tipo pressão, 110Volts;3586;2
6514;Ventilador tipo coluna/pedestal - bivolt;3585;2
706;Mesa de escritório - cor argila;3584;8
696;Gaveteiro volante - cor argila;3584;12
633;Estante de aço - 8 prateleiras;3584;2
771;Extintor de incêndio do tipo pó químico de  4 kg;3583;1
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3583;1
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3582;2
7412;Cadeira de rodas, tipo adulto, capacidade 150 kg;3582;1
6544;Ventilador de parede - bivolt;3582;1
3228;Carro Tipo Plataforma - 500 Kg;3582;2
692;Balcão - cor argila;3582;16
686;Armário sem cabideiro - cor argila;3582;2
683;Sofá - 2 lugares - tecido azul;3582;2
483;Armário para copa (kit triplo);3582;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3581;1
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3581;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3581;4
6514;Ventilador tipo coluna/pedestal - bivolt;3581;2
713;Mesa Auxiliar - cor mogno;3581;1
496;Forno de microondas - 110v;3581;1
6485;Refrigerador, modelo doméstico, 220 Volts;3580;1
688;Armário-Estante - cor mogno;3579;12
485;Bebedouro elétrico tipo pressão, 110Volts;3578;3
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3577;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3576;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3575;1
803;Carrinho Tipo Bagageiro - 100 Kg;3574;1
706;Mesa de escritório - cor argila;3574;1
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3573;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3573;1
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3573;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3573;4
7412;Cadeira de rodas, tipo adulto, capacidade 150 kg;3573;1
6544;Ventilador de parede - bivolt;3573;1
6514;Ventilador tipo coluna/pedestal - bivolt;3573;2
3228;Carro Tipo Plataforma - 500 Kg;3573;2
713;Mesa Auxiliar - cor mogno;3573;1
692;Balcão - cor argila;3573;16
686;Armário sem cabideiro - cor argila;3573;2
683;Sofá - 2 lugares - tecido azul;3573;2
496;Forno de microondas - 110v;3573;1
483;Armário para copa (kit triplo);3573;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3572;1
485;Bebedouro elétrico tipo pressão, 110Volts;3572;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3571;27
504;Circulador de ar - 110v;3570;20
487;Bebedouro para garrafão - 110v;3569;2
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3568;30
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3567;20
722;Mesa de direção - cor mogno;3566;5
688;Armário-Estante - cor mogno;3566;7
6514;Ventilador tipo coluna/pedestal - bivolt;3565;10
691;Armário sem cabideiro - cor mogno;3565;7
6480;Bebedouro elétrico tipo pressão, 220Volts;3564;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3563;3
1313;Cadeira tipo longarina - 03 assentos - c/braços;3562;2
772;Extintor de incêndio tipo pó químico de 6 Kg;3561;2
771;Extintor de incêndio do tipo pó químico de  4 kg;3561;2
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3561;2
6483;Bebedouro para garrafão - 220v;3560;1
713;Mesa Auxiliar - cor mogno;3559;5
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3558;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3558;2
6514;Ventilador tipo coluna/pedestal - bivolt;3557;4
697;Gaveteiro volante - cor mogno;3557;10
691;Armário sem cabideiro - cor mogno;3557;3
697;Gaveteiro volante - cor mogno;3556;1
6514;Ventilador tipo coluna/pedestal - bivolt;3555;10
725;Mesa de reunião - cor argila;3554;4
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3552;4
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3551;3
1314;Cadeira tipo longarina - 04 assentos - c/braços;3550;8
1313;Cadeira tipo longarina - 03 assentos - c/braços;3550;8
772;Extintor de incêndio tipo pó químico de 6 Kg;3549;2
771;Extintor de incêndio do tipo pó químico de  4 kg;3549;2
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3549;2
1314;Cadeira tipo longarina - 04 assentos - c/braços;3547;3
500;Refrigerador, modelo doméstico, 110 Volts;3546;1
487;Bebedouro para garrafão - 110v;3546;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3545;6
495;Fogão, de piso, 04 bocas, branco;3545;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3544;6
500;Refrigerador, modelo doméstico, 110 Volts;3544;1
495;Fogão, de piso, 04 bocas, branco;3544;1
487;Bebedouro para garrafão - 110v;3544;1
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3543;16
696;Gaveteiro volante - cor argila;3543;8
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3542;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3541;1
803;Carrinho Tipo Bagageiro - 100 Kg;3540;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3539;1
633;Estante de aço - 8 prateleiras;3536;1
1313;Cadeira tipo longarina - 03 assentos - c/braços;3535;2
6514;Ventilador tipo coluna/pedestal - bivolt;3534;1
690;Armário com cabideiro - cor mogno;3532;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3531;30
2870;MARTELETE PERFURADOR ROMPEDOR - 110 Volts;3530;1
533;FURADEIRA ELÉTRICA COM IMPACTO - 110 Volts;3530;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3529;4
6514;Ventilador tipo coluna/pedestal - bivolt;3529;6
772;Extintor de incêndio tipo pó químico de 6 Kg;3529;1
771;Extintor de incêndio do tipo pó químico de  4 kg;3529;1
504;Circulador de ar - 110v;3529;4
496;Forno de microondas - 110v;3529;3
6483;Bebedouro para garrafão - 220v;3528;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3527;4
806;Ventilador de Teto 110v, com 3 pás;3527;2
771;Extintor de incêndio do tipo pó químico de  4 kg;3527;1
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3527;1
706;Mesa de escritório - cor argila;3527;4
702;Mesa de apoio - cor argila;3527;4
696;Gaveteiro volante - cor argila;3527;4
485;Bebedouro elétrico tipo pressão, 110Volts;3527;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3526;10
504;Circulador de ar - 110v;3525;10
485;Bebedouro elétrico tipo pressão, 110Volts;3524;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3522;4
1314;Cadeira tipo longarina - 04 assentos - c/braços;3521;1
1313;Cadeira tipo longarina - 03 assentos - c/braços;3521;16
7311;Escada de alumínio, 8 degraus;3520;1
7311;Escada de alumínio, 8 degraus;3519;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3518;1
6483;Bebedouro para garrafão - 220v;3517;27
6483;Bebedouro para garrafão - 220v;3516;27
696;Gaveteiro volante - cor argila;3515;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3514;4
1268;Armário de aço - tipo roupeiro - 2 portas (BEC);3514;1
706;Mesa de escritório - cor argila;3514;4
702;Mesa de apoio - cor argila;3514;2
696;Gaveteiro volante - cor argila;3514;4
1313;Cadeira tipo longarina - 03 assentos - c/braços;3513;1
1313;Cadeira tipo longarina - 03 assentos - c/braços;3512;38
6544;Ventilador de parede - bivolt;3511;2
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3510;6
6600;Bebedouro de pressão para pessoas com necessidades especiais - 110 V;3510;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3510;5
1313;Cadeira tipo longarina - 03 assentos - c/braços;3510;6
802;Tablado - cor azul;3510;2
726;Mesa de reunião - cor mogno;3510;1
722;Mesa de direção - cor mogno;3510;1
713;Mesa Auxiliar - cor mogno;3510;1
688;Armário-Estante - cor mogno;3510;1
696;Gaveteiro volante - cor argila;3509;2
7441;Assento infantil de elevação (booster) - para uso em automóvel - Grupo de Massa III;3508;18
7440;Assento infantil cadeirinha - para uso em automóvel - Grupo de Massa I (BEC);3508;6
7439;Assento infantil bebê conforto - para uso em automóvel - Grupo de Massa 0+ (BEC);3508;5
2267;Tela de Projeção (1,80x1,80) metros;3508;8
774;Extintor de incêndio tipo pó químico - 12 kg;3508;2
773;Extintor de incêndio tipo pó químico de 8 quilos;3508;5
772;Extintor de incêndio tipo pó químico de 6 Kg;3508;5
771;Extintor de incêndio do tipo pó químico de  4 kg;3508;5
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3508;5
7441;Assento infantil de elevação (booster) - para uso em automóvel - Grupo de Massa III;3507;18
7440;Assento infantil cadeirinha - para uso em automóvel - Grupo de Massa I (BEC);3507;6
7439;Assento infantil bebê conforto - para uso em automóvel - Grupo de Massa 0+ (BEC);3507;5
2267;Tela de Projeção (1,80x1,80) metros;3507;8
774;Extintor de incêndio tipo pó químico - 12 kg;3507;2
773;Extintor de incêndio tipo pó químico de 8 quilos;3507;5
772;Extintor de incêndio tipo pó químico de 6 Kg;3507;5
771;Extintor de incêndio do tipo pó químico de  4 kg;3507;5
770;Extintor de incêndio do tipo água pressurizada - 10 litros;3507;5
1314;Cadeira tipo longarina - 04 assentos - c/braços;3506;14
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3504;25
1314;Cadeira tipo longarina - 04 assentos - c/braços;3503;7
1313;Cadeira tipo longarina - 03 assentos - c/braços;3503;4
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3502;6
6600;Bebedouro de pressão para pessoas com necessidades especiais - 110 V;3502;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3502;5
1313;Cadeira tipo longarina - 03 assentos - c/braços;3502;6
802;Tablado - cor azul;3502;2
726;Mesa de reunião - cor mogno;3502;1
722;Mesa de direção - cor mogno;3502;1
713;Mesa Auxiliar - cor mogno;3502;1
688;Armário-Estante - cor mogno;3502;1
6544;Ventilador de parede - bivolt;3501;2
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3500;6
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3500;12
697;Gaveteiro volante - cor mogno;3500;6
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3499;3
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3499;3
6544;Ventilador de parede - bivolt;3499;2
686;Armário sem cabideiro - cor argila;3499;2
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3498;60
633;Estante de aço - 8 prateleiras;3497;12
6480;Bebedouro elétrico tipo pressão, 220Volts;3496;1
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3495;6
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3495;12
697;Gaveteiro volante - cor mogno;3495;6
1313;Cadeira tipo longarina - 03 assentos - c/braços;3494;1
1316;Cadeira tipo longarina - 06 assentos - c/braços;3493;8
1316;Cadeira tipo longarina - 06 assentos - c/braços;3492;8
1316;Cadeira tipo longarina - 06 assentos - c/braços;3491;1
1316;Cadeira tipo longarina - 06 assentos - c/braços;3490;19
1315;Cadeira tipo longarina - 05 assentos - c/braços;3489;30
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3488;3
1315;Cadeira tipo longarina - 05 assentos - c/braços;3487;4
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3486;60
1315;Cadeira tipo longarina - 05 assentos - c/braços;3485;1
1315;Cadeira tipo longarina - 05 assentos - c/braços;3483;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3482;1
686;Armário sem cabideiro - cor argila;3482;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3481;4
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3480;3
1315;Cadeira tipo longarina - 05 assentos - c/braços;3479;14
2750;Aparelho de Ar Condicionado - tipo janela - 30000 BTUs;3478;1
1861;Aparelho de Ar Condicionado - tipo janela - 18000 BTUs;3478;1
1355;Aparelho de ar condicionado - tipo janela - 21000 BTUs;3478;1
1315;Cadeira tipo longarina - 05 assentos - c/braços;3477;2
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3476;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3476;8
6600;Bebedouro de pressão para pessoas com necessidades especiais - 110 V;3476;1
1496;Embalador de Guarda-Chuva;3476;1
485;Bebedouro elétrico tipo pressão, 110Volts;3476;1
2750;Aparelho de Ar Condicionado - tipo janela - 30000 BTUs;3475;1
1861;Aparelho de Ar Condicionado - tipo janela - 18000 BTUs;3475;1
1355;Aparelho de ar condicionado - tipo janela - 21000 BTUs;3475;1
686;Armário sem cabideiro - cor argila;3474;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3473;3
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3473;3
6544;Ventilador de parede - bivolt;3473;2
686;Armário sem cabideiro - cor argila;3473;2
1315;Cadeira tipo longarina - 05 assentos - c/braços;3472;4
1315;Cadeira tipo longarina - 05 assentos - c/braços;3471;3
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3470;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3470;8
6600;Bebedouro de pressão para pessoas com necessidades especiais - 110 V;3470;1
1496;Embalador de Guarda-Chuva;3470;1
485;Bebedouro elétrico tipo pressão, 110Volts;3470;1
1315;Cadeira tipo longarina - 05 assentos - c/braços;3469;3
2870;MARTELETE PERFURADOR ROMPEDOR - 110 Volts;3468;1
633;Estante de aço - 8 prateleiras;3467;12
1315;Cadeira tipo longarina - 05 assentos - c/braços;3466;7
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3465;3
664;Cadeira giratória - com braço - espaldar baixo - tecido azul;3464;4
664;Cadeira giratória - com braço - espaldar baixo - tecido azul;3463;30
771;Extintor de incêndio do tipo pó químico de  4 kg;3462;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3461;12
713;Mesa Auxiliar - cor mogno;3460;10
771;Extintor de incêndio do tipo pó químico de  4 kg;3459;2
3451;Carrinho Tipo Plataforma - 800 Kg;3458;1
2762;Extintor PQS - 20 KG;3457;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3456;1
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3455;3
686;Armário sem cabideiro - cor argila;3454;1
1355;Aparelho de ar condicionado - tipo janela - 21000 BTUs;3453;1
1355;Aparelho de ar condicionado - tipo janela - 21000 BTUs;3452;1
2750;Aparelho de Ar Condicionado - tipo janela - 30000 BTUs;3450;1
1861;Aparelho de Ar Condicionado - tipo janela - 18000 BTUs;3450;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3449;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3449;20
1305;Balcão cor mogno;3448;1
6514;Ventilador tipo coluna/pedestal - bivolt;3447;2
2750;Aparelho de Ar Condicionado - tipo janela - 30000 BTUs;3446;1
1861;Aparelho de Ar Condicionado - tipo janela - 18000 BTUs;3446;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3445;26
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3445;7
6544;Ventilador de parede - bivolt;3445;4
806;Ventilador de Teto 110v, com 3 pás;3445;12
706;Mesa de escritório - cor argila;3445;5
702;Mesa de apoio - cor argila;3445;5
696;Gaveteiro volante - cor argila;3445;5
693;Banco de espera - bege;3445;4
516;Máquina de calcular eletrônica;3445;2
487;Bebedouro para garrafão - 110v;3445;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3444;20
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3443;4
1268;Armário de aço - tipo roupeiro - 2 portas (BEC);3443;1
706;Mesa de escritório - cor argila;3443;4
702;Mesa de apoio - cor argila;3443;2
696;Gaveteiro volante - cor argila;3443;4
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3442;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3442;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3441;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3440;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3439;26
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3439;7
6544;Ventilador de parede - bivolt;3439;4
806;Ventilador de Teto 110v, com 3 pás;3439;12
706;Mesa de escritório - cor argila;3439;5
702;Mesa de apoio - cor argila;3439;5
696;Gaveteiro volante - cor argila;3439;5
693;Banco de espera - bege;3439;4
516;Máquina de calcular eletrônica;3439;2
487;Bebedouro para garrafão - 110v;3439;1
1862;"Mesa em formato de ""L"" - cor mogno";3438;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3437;20
6514;Ventilador tipo coluna/pedestal - bivolt;3437;2
1305;Balcão cor mogno;3437;1
504;Circulador de ar - 110v;3437;2
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3435;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3435;6
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3435;2
702;Mesa de apoio - cor argila;3435;1
516;Máquina de calcular eletrônica;3435;10
6514;Ventilador tipo coluna/pedestal - bivolt;3434;2
533;FURADEIRA ELÉTRICA COM IMPACTO - 110 Volts;3433;1
1862;"Mesa em formato de ""L"" - cor mogno";3432;2
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3431;4
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3430;13
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3429;13
496;Forno de microondas - 110v;3428;1
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3427;5
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3427;7
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3427;8
516;Máquina de calcular eletrônica;3426;3
1490;Maquina Arqueadora;3425;1
698;Gaveteiro volante - pequeno - cor mogno;3424;1
533;FURADEIRA ELÉTRICA COM IMPACTO - 110 Volts;3423;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3422;2
633;Estante de aço - 8 prateleiras;3420;60
698;Gaveteiro volante - pequeno - cor mogno;3419;1
1861;Aparelho de Ar Condicionado - tipo janela - 18000 BTUs;3418;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3417;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3416;5
702;Mesa de apoio - cor argila;3416;5
696;Gaveteiro volante - cor argila;3416;5
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3415;5
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3415;7
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3415;8
516;Máquina de calcular eletrônica;3414;3
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3412;1
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3412;6
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3412;2
702;Mesa de apoio - cor argila;3412;1
516;Máquina de calcular eletrônica;3412;10
633;Estante de aço - 8 prateleiras;3411;60
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3410;30
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3408;12
500;Refrigerador, modelo doméstico, 110 Volts;3407;10
500;Refrigerador, modelo doméstico, 110 Volts;3406;10
500;Refrigerador, modelo doméstico, 110 Volts;3404;1
706;Mesa de escritório - cor argila;3403;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3402;2
713;Mesa Auxiliar - cor mogno;3401;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3400;8
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3399;2
